NORRBECK INSTRUMENTS - EXPENSE LEDGER, JANUARY-JUNE 2025
Amounts are in the original currency of the claim. Negative amounts are reversal entries.

TXN        | Date       | Employee | Amount       | Cur | Category  | Status   | Note
-----------+------------+----------+--------------+-----+-----------+----------+-----------------------
TXN-00024 | 2025-01-01 | E-1039   |     1,382.46 | EUR | TRAINING  | APPROVED |
TXN-00038 | 2025-01-01 | E-1082   |        55.87 | EUR | SUPPLIES  | APPROVED |
TXN-00040 | 2025-01-01 | E-1040   |     1,222.98 | EUR | CONF      | APPROVED |
TXN-00042 | 2025-01-01 | E-1042   |     1,644.76 | EUR | CONF      | APPROVED |
TXN-00051 | 2025-01-01 | E-1007   |       134.36 | EUR | MEALS     | APPROVED |
TXN-00089 | 2025-01-01 | E-1075   |     1,468.52 | EUR | CONF      | APPROVED |
TXN-00142 | 2025-01-01 | E-1016   |     3,526.51 | GBP | EQUIPMENT | APPROVED |
TXN-00149 | 2025-01-01 | E-1051   |     1,656.78 | EUR | TRAINING  | APPROVED |
TXN-00166 | 2025-01-01 | E-1031   |       985.15 | EUR | SOFTWARE  | APPROVED |
TXN-00029 | 2025-01-02 | E-1053   |       119.22 | CHF | SUPPLIES  | APPROVED |
TXN-00061 | 2025-01-02 | E-1096   |        77.17 | EUR | MEALS     | APPROVED |
TXN-00081 | 2025-01-02 | E-1082   |     1,183.39 | EUR | CONF      | APPROVED |
TXN-00087 | 2025-01-02 | E-1080   |       154.75 | CHF | SUPPLIES  | REJECTED |
TXN-00151 | 2025-01-02 | E-1006   |     1,082.19 | CHF | SOFTWARE  | APPROVED |
TXN-00027 | 2025-01-03 | E-1043   |       308.87 | EUR | TRAVEL    | APPROVED |
TXN-00033 | 2025-01-03 | E-1072   |       346.27 | EUR | SUPPLIES  | APPROVED |
TXN-00047 | 2025-01-03 | E-1037   |     3,316.49 | EUR | EQUIPMENT | APPROVED |
TXN-00048 | 2025-01-03 | E-1096   |     2,276.24 | EUR | SOFTWARE  | PENDING  |
TXN-00050 | 2025-01-03 | E-1026   |       254.10 | CHF | SUPPLIES  | APPROVED |
TXN-00079 | 2025-01-03 | E-1083   |       478.76 | EUR | TRAINING  | APPROVED |
TXN-00139 | 2025-01-03 | E-1072   |     3,204.64 | CHF | EQUIPMENT | APPROVED |
TXN-00004 | 2025-01-04 | E-1046   |     1,101.75 | USD | CONF      | REJECTED |
TXN-00012 | 2025-01-04 | E-1065   |        48.68 | EUR | SUPPLIES  | APPROVED |
TXN-00025 | 2025-01-04 | E-1014   |       409.57 | CHF | SUPPLIES  | APPROVED |
TXN-00129 | 2025-01-04 | E-1053   |     1,175.93 | EUR | SOFTWARE  | REJECTED |
TXN-00002 | 2025-01-05 | E-1029   |        50.80 | CHF | MEALS     | REJECTED |
TXN-00019 | 2025-01-05 | E-1080   |       512.67 | EUR | TRAINING  | APPROVED |
TXN-00059 | 2025-01-05 | E-1093   |       185.72 | EUR | MEALS     | APPROVED |
TXN-00065 | 2025-01-05 | E-1021   |       816.60 | EUR | CONF      | REJECTED |
TXN-00137 | 2025-01-05 | E-1001   |       317.28 | EUR | SUPPLIES  | APPROVED |
TXN-00157 | 2025-01-05 | E-1037   |       628.26 | USD | CONF      | APPROVED |
TXN-00169 | 2025-01-05 | E-1021   |     6,376.22 | EUR | EQUIPMENT | APPROVED |
TXN-00175 | 2025-01-05 | E-1019   |     2,365.08 | GBP | SOFTWARE  | APPROVED |
TXN-00003 | 2025-01-06 | E-1045   |     5,792.78 | GBP | EQUIPMENT | APPROVED |
TXN-00010 | 2025-01-06 | E-1092   |     2,048.50 | GBP | EQUIPMENT | APPROVED |
TXN-00105 | 2025-01-06 | E-1056   |     3,501.93 | EUR | EQUIPMENT | APPROVED |
TXN-00165 | 2025-01-06 | E-1028   |       240.98 | EUR | MEALS     | APPROVED |
TXN-00173 | 2025-01-06 | E-1001   |     4,551.65 | USD | EQUIPMENT | APPROVED |
TXN-00039 | 2025-01-07 | E-1001   |       405.15 | USD | SUPPLIES  | APPROVED |
TXN-00045 | 2025-01-07 | E-1092   |       570.71 | USD | TRAVEL    | APPROVED |
TXN-00063 | 2025-01-07 | E-1033   |       244.28 | USD | MEALS     | APPROVED |
TXN-00109 | 2025-01-07 | E-1077   |     1,397.66 | EUR | TRAINING  | APPROVED |
TXN-00168 | 2025-01-07 | E-1049   |     1,096.53 | GBP | CONF      | APPROVED |
TXN-00044 | 2025-01-08 | E-1076   |     1,430.18 | EUR | TRAVEL    | APPROVED |
TXN-00066 | 2025-01-08 | E-1081   |     2,434.98 | EUR | EQUIPMENT | APPROVED |
TXN-00090 | 2025-01-08 | E-1010   |       126.92 | EUR | SUPPLIES  | APPROVED |
TXN-00098 | 2025-01-08 | E-1023   |     2,044.71 | GBP | TRAINING  | APPROVED |
TXN-00118 | 2025-01-08 | E-1022   |       233.76 | EUR | CONF      | APPROVED |
TXN-00134 | 2025-01-08 | E-1011   |     1,030.59 | EUR | TRAINING  | APPROVED |
TXN-00159 | 2025-01-08 | E-1056   |     1,333.68 | USD | CONF      | APPROVED |
TXN-00161 | 2025-01-08 | E-1017   |     1,415.53 | USD | CONF      | APPROVED |
TXN-01199 | 2025-01-08 | E-1065   |       -48.68 | EUR | SUPPLIES  | APPROVED | reversal of TXN-00012
TXN-00001 | 2025-01-09 | E-1026   |     3,502.71 | CHF | EQUIPMENT | REJECTED |
TXN-00005 | 2025-01-09 | E-1031   |     2,033.19 | USD | TRAINING  | APPROVED |
TXN-00013 | 2025-01-09 | E-1001   |       890.19 | EUR | TRAVEL    | APPROVED |
TXN-00120 | 2025-01-09 | E-1054   |     8,562.59 | EUR | EQUIPMENT | APPROVED |
TXN-00131 | 2025-01-09 | E-1081   |     1,035.48 | GBP | TRAINING  | APPROVED |
TXN-00176 | 2025-01-09 | E-1088   |     1,584.76 | EUR | SOFTWARE  | APPROVED |
TXN-00177 | 2025-01-09 | E-1071   |     5,427.86 | CHF | EQUIPMENT | APPROVED |
TXN-00018 | 2025-01-10 | E-1067   |     3,074.98 | EUR | EQUIPMENT | APPROVED |
TXN-00041 | 2025-01-10 | E-1040   |       358.07 | CHF | SUPPLIES  | APPROVED |
TXN-00064 | 2025-01-10 | E-1010   |       299.72 | CHF | CONF      | APPROVED |
TXN-00075 | 2025-01-10 | E-1042   |       396.24 | EUR | SUPPLIES  | APPROVED |
TXN-00121 | 2025-01-10 | E-1022   |       494.60 | USD | TRAVEL    | APPROVED |
TXN-00130 | 2025-01-10 | E-1032   |       645.25 | EUR | CONF      | APPROVED |
TXN-00155 | 2025-01-10 | E-1024   |       226.95 | EUR | CONF      | REJECTED |
TXN-00189 | 2025-01-10 | E-1086   |     1,370.08 | GBP | TRAINING  | REJECTED |
TXN-01212 | 2025-01-10 | E-1056   |    -1,333.68 | USD | CONF      | APPROVED | reversal of TXN-00159
TXN-00022 | 2025-01-11 | E-1033   |     1,210.35 | EUR | TRAINING  | REJECTED |
TXN-00028 | 2025-01-11 | E-1076   |     3,057.12 | EUR | EQUIPMENT | REJECTED |
TXN-00117 | 2025-01-11 | E-1006   |     2,850.45 | EUR | EQUIPMENT | APPROVED |
TXN-00122 | 2025-01-11 | E-1019   |        71.63 | GBP | SUPPLIES  | APPROVED |
TXN-00170 | 2025-01-11 | E-1021   |       954.92 | CHF | TRAINING  | APPROVED |
TXN-00179 | 2025-01-11 | E-1066   |       705.17 | USD | TRAINING  | APPROVED |
TXN-00185 | 2025-01-11 | E-1053   |        41.29 | USD | MEALS     | APPROVED |
TXN-00011 | 2025-01-12 | E-1053   |     9,002.35 | CHF | EQUIPMENT | APPROVED |
TXN-00026 | 2025-01-12 | E-1026   |       381.74 | EUR | SUPPLIES  | APPROVED |
TXN-00062 | 2025-01-12 | E-1026   |       306.73 | EUR | SUPPLIES  | APPROVED |
TXN-00067 | 2025-01-12 | E-1061   |       222.34 | EUR | MEALS     | APPROVED |
TXN-00127 | 2025-01-12 | E-1018   |     1,955.32 | EUR | TRAINING  | APPROVED |
TXN-00158 | 2025-01-12 | E-1096   |       769.46 | CHF | SOFTWARE  | APPROVED |
TXN-00162 | 2025-01-12 | E-1056   |       221.79 | CHF | CONF      | REJECTED |
TXN-00070 | 2025-01-13 | E-1076   |       209.83 | EUR | SUPPLIES  | PENDING  |
TXN-00084 | 2025-01-13 | E-1010   |       227.78 | USD | SUPPLIES  | APPROVED |
TXN-00085 | 2025-01-13 | E-1033   |        91.70 | EUR | MEALS     | APPROVED |
TXN-00093 | 2025-01-13 | E-1066   |       241.33 | CHF | MEALS     | APPROVED |
TXN-00101 | 2025-01-13 | E-1046   |     1,245.46 | EUR | CONF      | REJECTED |
TXN-00123 | 2025-01-13 | E-1091   |     1,306.06 | EUR | TRAVEL    | APPROVED |
TXN-00124 | 2025-01-13 | E-1071   |       846.14 | USD | SOFTWARE  | APPROVED |
TXN-00182 | 2025-01-13 | E-1023   |       829.26 | EUR | TRAVEL    | APPROVED |
TXN-00015 | 2025-01-14 | E-1092   |     1,193.59 | CHF | TRAVEL    | APPROVED |
TXN-00088 | 2025-01-14 | E-1055   |       856.13 | USD | CONF      | APPROVED |
TXN-00115 | 2025-01-14 | E-1063   |       262.99 | USD | TRAINING  | APPROVED |
TXN-00125 | 2025-01-14 | E-1091   |     2,021.07 | USD | TRAINING  | APPROVED |
TXN-00148 | 2025-01-14 | E-1040   |        79.12 | EUR | MEALS     | REJECTED |
TXN-00055 | 2025-01-15 | E-1046   |       982.81 | GBP | TRAINING  | APPROVED |
TXN-00071 | 2025-01-15 | E-1079   |     1,041.06 | USD | TRAVEL    | APPROVED |
TXN-00074 | 2025-01-15 | E-1076   |     2,344.13 | EUR | EQUIPMENT | APPROVED |
TXN-00094 | 2025-01-15 | E-1089   |     1,868.88 | EUR | SOFTWARE  | REJECTED |
TXN-00100 | 2025-01-15 | E-1036   |       218.61 | USD | MEALS     | APPROVED |
TXN-00126 | 2025-01-15 | E-1028   |     1,404.49 | EUR | CONF      | APPROVED |
TXN-00133 | 2025-01-15 | E-1001   |     6,327.25 | USD | EQUIPMENT | APPROVED |
TXN-00171 | 2025-01-15 | E-1036   |     1,212.67 | CHF | TRAINING  | APPROVED |
TXN-00069 | 2025-01-16 | E-1001   |       919.47 | GBP | TRAVEL    | APPROVED |
TXN-00086 | 2025-01-16 | E-1076   |       477.75 | EUR | TRAVEL    | APPROVED |
TXN-00091 | 2025-01-16 | E-1008   |     1,011.79 | USD | CONF      | APPROVED |
TXN-00106 | 2025-01-16 | E-1073   |       756.80 | CHF | SOFTWARE  | APPROVED |
TXN-00132 | 2025-01-16 | E-1026   |     2,074.50 | CHF | TRAINING  | APPROVED |
TXN-00136 | 2025-01-16 | E-1065   |     2,252.96 | GBP | SOFTWARE  | APPROVED |
TXN-00181 | 2025-01-16 | E-1046   |     2,307.52 | CHF | SOFTWARE  | APPROVED |
TXN-00073 | 2025-01-17 | E-1061   |        65.17 | EUR | SUPPLIES  | APPROVED |
TXN-00110 | 2025-01-17 | E-1026   |       195.21 | USD | SUPPLIES  | APPROVED |
TXN-00112 | 2025-01-17 | E-1088   |       789.14 | CHF | TRAINING  | APPROVED |
TXN-00119 | 2025-01-17 | E-1051   |       277.33 | EUR | MEALS     | APPROVED |
TXN-00150 | 2025-01-17 | E-1095   |       338.27 | GBP | SUPPLIES  | APPROVED |
TXN-00076 | 2025-01-18 | E-1018   |        80.31 | USD | MEALS     | APPROVED |
TXN-00095 | 2025-01-18 | E-1019   |     1,417.65 | EUR | SOFTWARE  | APPROVED |
TXN-00111 | 2025-01-18 | E-1051   |     1,227.23 | EUR | SOFTWARE  | APPROVED |
TXN-00160 | 2025-01-18 | E-1083   |       301.39 | CHF | SUPPLIES  | APPROVED |
TXN-00174 | 2025-01-18 | E-1031   |     1,246.87 | EUR | TRAINING  | APPROVED |
TXN-00053 | 2025-01-19 | E-1086   |     1,556.18 | USD | CONF      | APPROVED |
TXN-00096 | 2025-01-19 | E-1029   |       111.50 | EUR | SUPPLIES  | APPROVED |
TXN-00135 | 2025-01-19 | E-1076   |     1,327.81 | GBP | CONF      | APPROVED |
TXN-00152 | 2025-01-19 | E-1051   |     3,649.22 | EUR | EQUIPMENT | APPROVED |
TXN-00043 | 2025-01-20 | E-1091   |     5,041.56 | EUR | EQUIPMENT | APPROVED |
TXN-00052 | 2025-01-20 | E-1036   |       546.22 | EUR | CONF      | APPROVED |
TXN-00060 | 2025-01-20 | E-1088   |     2,207.00 | EUR | SOFTWARE  | APPROVED |
TXN-00072 | 2025-01-20 | E-1064   |       257.63 | CHF | MEALS     | APPROVED |
TXN-00083 | 2025-01-20 | E-1025   |       872.10 | EUR | TRAVEL    | APPROVED |
TXN-00108 | 2025-01-20 | E-1040   |       450.85 | CHF | SOFTWARE  | REJECTED |
TXN-00114 | 2025-01-20 | E-1071   |     1,525.29 | EUR | SOFTWARE  | APPROVED |
TXN-00154 | 2025-01-20 | E-1037   |       410.82 | GBP | TRAVEL    | APPROVED |
TXN-00021 | 2025-01-21 | E-1021   |       579.62 | EUR | CONF      | APPROVED |
TXN-00032 | 2025-01-21 | E-1029   |     1,133.06 | USD | TRAINING  | APPROVED |
TXN-00036 | 2025-01-21 | E-1096   |       782.84 | EUR | TRAVEL    | APPROVED |
TXN-00058 | 2025-01-21 | E-1059   |     1,386.48 | EUR | TRAVEL    | PENDING  |
TXN-00104 | 2025-01-21 | E-1096   |       894.18 | EUR | TRAVEL    | APPROVED |
TXN-00167 | 2025-01-21 | E-1057   |     1,282.24 | USD | EQUIPMENT | APPROVED |
TXN-00180 | 2025-01-21 | E-1039   |       412.52 | GBP | TRAINING  | APPROVED |
TXN-00007 | 2025-01-22 | E-1010   |       370.37 | EUR | SUPPLIES  | APPROVED |
TXN-00017 | 2025-01-22 | E-1029   |     1,715.73 | EUR | SOFTWARE  | APPROVED |
TXN-00034 | 2025-01-22 | E-1077   |     4,931.68 | CHF | EQUIPMENT | APPROVED |
TXN-00056 | 2025-01-22 | E-1056   |     3,847.44 | CHF | EQUIPMENT | APPROVED |
TXN-00068 | 2025-01-22 | E-1044   |       289.59 | EUR | SUPPLIES  | APPROVED |
TXN-00080 | 2025-01-22 | E-1051   |     1,257.90 | USD | CONF      | APPROVED |
TXN-00092 | 2025-01-22 | E-1018   |       338.08 | GBP | SOFTWARE  | APPROVED |
TXN-00116 | 2025-01-22 | E-1023   |     2,179.86 | USD | SOFTWARE  | APPROVED |
TXN-00141 | 2025-01-22 | E-1059   |       561.32 | EUR | TRAVEL    | REJECTED |
TXN-00144 | 2025-01-22 | E-1067   |       365.66 | EUR | SUPPLIES  | APPROVED |
TXN-00183 | 2025-01-22 | E-1051   |     1,530.19 | GBP | TRAVEL    | PENDING  |
TXN-00046 | 2025-01-23 | E-1086   |       514.07 | EUR | SOFTWARE  | APPROVED |
TXN-00107 | 2025-01-23 | E-1031   |       119.87 | EUR | SUPPLIES  | APPROVED |
TXN-00020 | 2025-01-24 | E-1033   |     1,444.75 | CHF | SOFTWARE  | PENDING  |
TXN-00030 | 2025-01-24 | E-1051   |     2,557.67 | EUR | EQUIPMENT | APPROVED |
TXN-00049 | 2025-01-24 | E-1012   |     1,056.05 | EUR | TRAVEL    | APPROVED |
TXN-00082 | 2025-01-24 | E-1096   |     1,570.12 | EUR | EQUIPMENT | APPROVED |
TXN-00099 | 2025-01-24 | E-1012   |       585.50 | EUR | TRAVEL    | APPROVED |
TXN-00140 | 2025-01-24 | E-1021   |       847.37 | USD | CONF      | PENDING  |
TXN-00147 | 2025-01-24 | E-1081   |     1,232.46 | GBP | TRAVEL    | APPROVED |
TXN-00172 | 2025-01-24 | E-1074   |     1,223.34 | EUR | EQUIPMENT | APPROVED |
TXN-00184 | 2025-01-24 | E-1001   |       854.48 | USD | SOFTWARE  | REJECTED |
TXN-01219 | 2025-01-24 | E-1051   |    -1,257.90 | USD | CONF      | APPROVED | reversal of TXN-00080
TXN-00077 | 2025-01-25 | E-1016   |     1,091.59 | CHF | EQUIPMENT | APPROVED |
TXN-00156 | 2025-01-25 | E-1071   |     1,104.02 | EUR | TRAINING  | APPROVED |
TXN-00187 | 2025-01-25 | E-1041   |       544.21 | EUR | CONF      | PENDING  |
TXN-00054 | 2025-01-26 | E-1036   |       153.23 | USD | MEALS     | APPROVED |
TXN-00138 | 2025-01-26 | E-1001   |       383.57 | EUR | SUPPLIES  | APPROVED |
TXN-00006 | 2025-01-27 | E-1076   |       394.97 | EUR | TRAINING  | APPROVED |
TXN-00035 | 2025-01-27 | E-1089   |       238.42 | GBP | MEALS     | APPROVED |
TXN-00078 | 2025-01-27 | E-1033   |     1,090.53 | GBP | TRAINING  | APPROVED |
TXN-00103 | 2025-01-27 | E-1025   |     1,640.58 | EUR | CONF      | APPROVED |
TXN-00145 | 2025-01-27 | E-1051   |       388.16 | USD | SUPPLIES  | APPROVED |
TXN-00153 | 2025-01-27 | E-1070   |     1,186.30 | CHF | TRAVEL    | APPROVED |
TXN-00164 | 2025-01-27 | E-1030   |     2,119.61 | EUR | TRAINING  | PENDING  |
TXN-00186 | 2025-01-27 | E-1033   |     2,018.42 | EUR | TRAINING  | APPROVED |
TXN-00009 | 2025-01-28 | E-1016   |        59.14 | EUR | SUPPLIES  | APPROVED |
TXN-00016 | 2025-01-28 | E-1086   |     1,217.32 | USD | TRAINING  | APPROVED |
TXN-01216 | 2025-01-28 | E-1071   |    -1,104.02 | EUR | TRAINING  | APPROVED | reversal of TXN-00156
TXN-01224 | 2025-01-28 | E-1036   |      -546.22 | EUR | CONF      | APPROVED | reversal of TXN-00052
TXN-00008 | 2025-01-29 | E-1091   |     1,672.56 | EUR | CONF      | APPROVED |
TXN-00057 | 2025-01-29 | E-1049   |       403.93 | EUR | SUPPLIES  | APPROVED |
TXN-00102 | 2025-01-29 | E-1063   |     2,504.23 | CHF | SOFTWARE  | APPROVED |
TXN-00128 | 2025-01-29 | E-1051   |       100.24 | EUR | SUPPLIES  | APPROVED |
TXN-00146 | 2025-01-29 | E-1055   |       713.79 | EUR | CONF      | APPROVED |
TXN-00014 | 2025-01-30 | E-1016   |       672.30 | CHF | CONF      | APPROVED |
TXN-00023 | 2025-01-30 | E-1076   |        59.66 | CHF | SUPPLIES  | APPROVED |
TXN-00031 | 2025-01-30 | E-1076   |     1,790.78 | EUR | CONF      | APPROVED |
TXN-00037 | 2025-01-30 | E-1009   |       330.87 | EUR | CONF      | APPROVED |
TXN-00097 | 2025-01-30 | E-1013   |       216.06 | EUR | SUPPLIES  | REJECTED |
TXN-00113 | 2025-01-30 | E-1021   |     9,270.03 | EUR | EQUIPMENT | APPROVED |
TXN-00143 | 2025-01-30 | E-1026   |     1,175.52 | EUR | CONF      | APPROVED |
TXN-00163 | 2025-01-30 | E-1096   |       153.22 | EUR | SUPPLIES  | APPROVED |
TXN-00178 | 2025-01-30 | E-1011   |       284.79 | USD | MEALS     | PENDING  |
TXN-00188 | 2025-01-30 | E-1086   |       675.02 | EUR | CONF      | APPROVED |
TXN-00190 | 2025-01-30 | E-1001   |       324.15 | GBP | CONF      | APPROVED |
TXN-00268 | 2025-02-01 | E-1006   |       919.93 | GBP | TRAINING  | APPROVED |
TXN-00281 | 2025-02-01 | E-1021   |     1,827.85 | USD | TRAINING  | REJECTED |
TXN-00325 | 2025-02-01 | E-1066   |     2,101.87 | EUR | TRAINING  | APPROVED |
TXN-00338 | 2025-02-01 | E-1091   |       705.02 | USD | CONF      | PENDING  |
TXN-00369 | 2025-02-01 | E-1045   |       208.43 | GBP | SUPPLIES  | APPROVED |
TXN-00228 | 2025-02-02 | E-1025   |       499.73 | CHF | SOFTWARE  | APPROVED |
TXN-00285 | 2025-02-02 | E-1027   |     8,601.83 | CHF | EQUIPMENT | APPROVED |
TXN-00309 | 2025-02-02 | E-1011   |     1,616.48 | GBP | TRAINING  | APPROVED |
